N	algorithm	device	n_chains	eq_sweeps	prod_sweeps	total_wall_s	per_sweep_s	hinge_accept	tail_accept	pivot_accept	segment_size	max_angle_hinge	run_id	warmup_sweeps	wall_clock_median_of_3
25	multistep	gpu	50	20	30	9.719092399987858	0.19438184799975716	0.0	0.4574	0.5144	20	3.141593	B-N25-multistep-gpu-median-of-1	5	False
25	multistep	cpu	50	20	30	12.560226800036617	0.25120453600073234	0.0	0.5472	0.4408	20	3.141593	B-N25-multistep-cpu-median-of-1	5	False
25	conventional	gpu	50	20	30	29.892324599961285	0.5978464919992257	0.0	0.5444	0.4244	20	3.141593	B-N25-conventional-gpu-median-of-1	5	False
25	conventional	cpu	50	20	30	12.699378699995577	0.25398757399991156	0.0	0.5502	0.44	20	3.141593	B-N25-conventional-cpu-median-of-1	5	False
50	multistep	gpu	50	20	30	13.205457300005946	0.2641091460001189	0.3236	0.4322	0.4184	20	3.141593	B-N50-multistep-gpu-median-of-1	5	False
50	multistep	cpu	50	20	30	18.11802880000323	0.3623605760000646	0.3528	0.4742	0.338	20	3.141593	B-N50-multistep-cpu-median-of-1	5	False
50	conventional	gpu	50	20	30	44.833135699969716	0.8966627139993943	0.3128	0.4848	0.3116	20	3.141593	B-N50-conventional-gpu-median-of-1	5	False
50	conventional	cpu	50	20	30	20.073004200006835	0.4014600840001367	0.3568	0.4666	0.3172	20	3.141593	B-N50-conventional-cpu-median-of-1	5	False
100	multistep	gpu	50	20	30	22.59961109998403	0.45199222199968064	0.31066666666666665	0.4072	0.2996	20	3.141593	B-N100-multistep-gpu-median-of-1	5	False
100	multistep	cpu	50	20	30	30.461153400014155	0.6092230680002831	0.3244	0.4124	0.2452	20	3.141593	B-N100-multistep-cpu-median-of-1	5	False
100	conventional	gpu	50	20	30	78.93511930003297	1.5787023860006593	0.32626666666666665	0.4278	0.212	20	3.141593	B-N100-conventional-gpu-median-of-1	5	False
100	conventional	cpu	50	20	30	37.94174760003807	0.7588349520007615	0.3238666666666667	0.4224	0.2304	20	3.141593	B-N100-conventional-cpu-median-of-1	5	False
